row_id,Original High Level Intent,Correct Formal Specification,Ambiguous High Level Intent,Ambiguity Types Applied
1435,"100.0.9.0/24 is accessible from sofia.
Routing traffic between sofia and 100.0.9.0/24 goes via rotterdam.
The number of paths between sofia and 100.0.9.0/24 should be 4.
The subnet 100.0.29.0/24 is reachable from strasbourg.
The route from strasbourg to 100.0.29.0/24 includes london.
Traffic from strasbourg to 100.0.29.0/24 is evenly distributed across 2 paths.
Connectivity from bratislava to 100.0.4.0/24 is established.
The path between bratislava and 100.0.4.0/24 involves basel.
The number of paths between bratislava and 100.0.4.0/24 should be 4.","{""reachability"": {""sofia"": [""100.0.9.0/24""], ""strasbourg"": [""100.0.29.0/24""], ""bratislava"": [""100.0.4.0/24""]}, ""waypoint"": {""(sofia,100.0.9.0/24)"": [""rotterdam""], ""(strasbourg,100.0.29.0/24)"": [""london""], ""(bratislava,100.0.4.0/24)"": [""basel""]}, ""loadbalancing"": {""(sofia,100.0.9.0/24)"": 4, ""(strasbourg,100.0.29.0/24)"": 2, ""(bratislava,100.0.4.0/24)"": 4}}","100.0.9.0/24 is accessible from sofia.
Routing traffic between sofia and 100.0.9.0/24 goes via rotterdam.
Distribute traffic across available paths.
strasbourg needs to reach 100.0.29.0/24. The same connectivity requirements apply to the other subnets as well.
The route from strasbourg to 100.0.29.0/24 includes london.
Make sure there's redundancy.
bratislava should connect to 100.0.4.0/24, and similar routing should be used for related traffic.
Use multiple paths for reliability.",SOFT_LB; MERGE; OMIT
1436,"100.0.1.0/24 is accessible from paris.
The route from paris to 100.0.1.0/24 includes kiev.
Traffic from paris to 100.0.1.0/24 is evenly distributed across 2 paths.
sofia can reach 100.0.1.0/24.
The path between sofia and 100.0.1.0/24 involves kiev.
To reach 100.0.1.0/24 from sofia, traffic should be split across 2 paths.
100.0.4.0/24 is accessible from london.
The route from london to 100.0.4.0/24 includes basel.
Traffic from london to 100.0.4.0/24 should be load-balanced across 2 paths.","{""reachability"": {""paris"": [""100.0.1.0/24""], ""sofia"": [""100.0.1.0/24""], ""london"": [""100.0.4.0/24""]}, ""waypoint"": {""(paris,100.0.1.0/24)"": [""kiev""], ""(sofia,100.0.1.0/24)"": [""kiev""], ""(london,100.0.4.0/24)"": [""basel""]}, ""loadbalancing"": {""(paris,100.0.1.0/24)"": 2, ""(sofia,100.0.1.0/24)"": 2, ""(london,100.0.4.0/24)"": 2}}","100.0.1.0/24 is accessible from paris.
Use kiev as intermediate hop if available.
Traffic from paris to 100.0.1.0/24 is evenly distributed across 2 paths.
sofia can reach 100.0.1.0/24.
Route through kiev if possible.
Make sure there's redundancy.
our servers is accessible from london.
The route from london to our servers includes basel.
Ensure fault tolerance with multiple routes.",SOFT_WP; SOFT_LB; VAGUE_REF
1437,"Traffic originating from kiev can reach the subnet 100.0.9.0/24.
To reach 100.0.9.0/24 from kiev, traffic is directed through rotterdam.
Traffic from kiev to 100.0.9.0/24 is evenly distributed across 2 paths.
istanbul can reach 100.0.29.0/24.
Traffic from istanbul to 100.0.29.0/24 passes through london.
The number of paths between istanbul and 100.0.29.0/24 should be 3.
The subnet 100.0.1.0/24 is reachable from milan.
The path between milan and 100.0.1.0/24 involves kiev.
The number of paths between milan and 100.0.1.0/24 should be 2.","{""reachability"": {""kiev"": [""100.0.9.0/24""], ""istanbul"": [""100.0.29.0/24""], ""milan"": [""100.0.1.0/24""]}, ""waypoint"": {""(kiev,100.0.9.0/24)"": [""rotterdam""], ""(istanbul,100.0.29.0/24)"": [""london""], ""(milan,100.0.1.0/24)"": [""kiev""]}, ""loadbalancing"": {""(kiev,100.0.9.0/24)"": 2, ""(istanbul,100.0.29.0/24)"": 3, ""(milan,100.0.1.0/24)"": 2}}","Traffic originating from kiev can reach the subnet the destination network
Load balance the traffic appropriately.
istanbul can reach 100.0.29.0/24.
Use london as intermediate hop if available.
Use multiple paths for reliability.
Connect milan to 100.0.1.0/24.
The path between milan and 100.0.1.0/24 involves kiev.
Ensure fault tolerance with multiple routes.",VAGUE_REF; SOFT_LB; SOFT_WP; BIDIR
1438,"Connectivity from lyon to 100.0.4.0/24 is established.
To reach 100.0.4.0/24 from lyon, traffic is directed through basel.
The number of paths between lyon and 100.0.29.0/24 should be 2.
Traffic originating from zurich can reach the subnet 100.0.1.0/24.
Routing traffic between zurich and 100.0.1.0/24 goes via kiev.
Traffic from zurich to 100.0.1.0/24 should be load-balanced across 3 paths.
Traffic originating from luxembourg can reach the subnet 100.0.29.0/24.
The path between luxembourg and 100.0.29.0/24 involves london.
Traffic from luxembourg to 100.0.29.0/24 should be load-balanced across 2 paths.","{""reachability"": {""lyon"": [""100.0.4.0/24""], ""zurich"": [""100.0.1.0/24""], ""luxembourg"": [""100.0.29.0/24""]}, ""waypoint"": {""(lyon,100.0.4.0/24)"": [""basel""], ""(zurich,100.0.1.0/24)"": [""kiev""], ""(luxembourg,100.0.29.0/24)"": [""london""]}, ""loadbalancing"": {""(lyon,100.0.29.0/24)"": 2, ""(zurich,100.0.1.0/24)"": 3, ""(luxembourg,100.0.29.0/24)"": 2}}","Connectivity from lyon to 100.0.4.0/24 is established.
To reach 100.0.4.0/24 from lyon, traffic is directed through basel.
zurich and 100.0.1.0/24. need connectivity.
Consider routing through kiev.
Traffic originating from luxembourg can reach the subnet the target subnet
Route through london if possible.
Distribute traffic across available paths.",BIDIR; SOFT_WP; OMIT; VAGUE_REF; SOFT_LB
1439,"The subnet 100.0.29.0/24 is reachable from praha.
The path between praha and 100.0.29.0/24 involves london.
The number of paths between praha and 100.0.29.0/24 should be 3.
The subnet 100.0.9.0/24 is reachable from madrid.
Traffic from madrid to 100.0.9.0/24 passes through rotterdam.
Traffic from madrid to 100.0.9.0/24 is evenly distributed across 2 paths.
barcelona can reach 100.0.9.0/24.
The route from barcelona to 100.0.9.0/24 includes rotterdam.
The number of paths between barcelona and 100.0.9.0/24 should be 2.","{""reachability"": {""praha"": [""100.0.29.0/24""], ""madrid"": [""100.0.9.0/24""], ""barcelona"": [""100.0.9.0/24""]}, ""waypoint"": {""(praha,100.0.29.0/24)"": [""london""], ""(madrid,100.0.9.0/24)"": [""rotterdam""], ""(barcelona,100.0.9.0/24)"": [""rotterdam""]}, ""loadbalancing"": {""(praha,100.0.29.0/24)"": 3, ""(madrid,100.0.9.0/24)"": 2, ""(barcelona,100.0.9.0/24)"": 2}}","praha and 100.0.29.0/24 should be connected.
Use london as intermediate hop if available.
The number of paths between praha and 100.0.29.0/24 should be 3.
madrid needs to reach 100.0.9.0/24. The same connectivity requirements apply to the other subnets as well.
Ensure good redundancy.
barcelona can reach the main subnet
Consider routing through rotterdam.",BIDIR; SOFT_WP; MERGE; OMIT; SOFT_LB; VAGUE_REF
1440,"The subnet 100.0.29.0/24 is reachable from lyon.
The route from lyon to 100.0.29.0/24 includes london.
Traffic from lyon to 100.0.29.0/24 is evenly distributed across 2 paths.
warsaw can reach 100.0.29.0/24.
Routing traffic between warsaw and 100.0.29.0/24 goes via london.
The number of paths between warsaw and 100.0.29.0/24 should be 2.
brussels can reach 100.0.29.0/24.
The route from brussels to 100.0.29.0/24 includes london.
The number of paths between brussels and 100.0.29.0/24 should be 2.","{""reachability"": {""lyon"": [""100.0.29.0/24""], ""warsaw"": [""100.0.29.0/24""], ""brussels"": [""100.0.29.0/24""]}, ""waypoint"": {""(lyon,100.0.29.0/24)"": [""london""], ""(warsaw,100.0.29.0/24)"": [""london""], ""(brussels,100.0.29.0/24)"": [""london""]}, ""loadbalancing"": {""(lyon,100.0.29.0/24)"": 2, ""(warsaw,100.0.29.0/24)"": 2, ""(brussels,100.0.29.0/24)"": 2}}","The subnet the target subnet is reachable from lyon.
Use london as intermediate hop if available.
Traffic from lyon to the target subnet is evenly distributed across 2 paths.
warsaw can reach the target subnet
Routing traffic between warsaw and 100.0.29.0/24 goes via london.
Make sure there's redundancy.
brussels and the main subnet should be connected.
Route through london if possible.
The number of paths between brussels and 100.0.29.0/24 should be 2.",VAGUE_REF; SOFT_WP; SOFT_LB; BIDIR
1441,"Connectivity from london to 100.0.9.0/24 is established.
The route from london to 100.0.9.0/24 includes rotterdam.
The number of paths between london and 100.0.9.0/24 should be 3.
bratislava can reach 100.0.1.0/24.
Routing traffic between bratislava and 100.0.1.0/24 goes via kiev.
Traffic from bratislava to 100.0.1.0/24 should be load-balanced across 2 paths.
Connectivity from basel to 100.0.9.0/24 is established.
Traffic from basel to 100.0.9.0/24 passes through rotterdam.
To reach 100.0.9.0/24 from basel, traffic is balanced on 2 paths.","{""reachability"": {""london"": [""100.0.9.0/24""], ""bratislava"": [""100.0.1.0/24""], ""basel"": [""100.0.9.0/24""]}, ""waypoint"": {""(london,100.0.9.0/24)"": [""rotterdam""], ""(bratislava,100.0.1.0/24)"": [""kiev""], ""(basel,100.0.9.0/24)"": [""rotterdam""]}, ""loadbalancing"": {""(london,100.0.9.0/24)"": 3, ""(bratislava,100.0.1.0/24)"": 2, ""(basel,100.0.9.0/24)"": 2}}","london and 100.0.9.0/24 should be connected.
Connect bratislava to 100.0.1.0/24..
Route through kiev if possible.
Use multiple paths for reliability.
Connect basel to the main subnet.
Traffic from basel to the main subnet passes through rotterdam.
Load balance the traffic appropriately.",BIDIR; OMIT; SOFT_WP; SOFT_LB; VAGUE_REF
1442,"Connectivity from paris to 100.0.9.0/24 is established.
The path between paris and 100.0.9.0/24 involves rotterdam.
To reach 100.0.9.0/24 from paris, traffic should be split across 2 paths.
basel can reach 100.0.29.0/24.
Routing traffic between basel and 100.0.29.0/24 goes via london.
Traffic from basel to 100.0.29.0/24 should be load-balanced across 2 paths.
Traffic originating from athens can reach the subnet 100.0.9.0/24.
Traffic from athens to 100.0.9.0/24 passes through rotterdam.
To reach 100.0.9.0/24 from athens, traffic should be split across 2 paths.","{""reachability"": {""paris"": [""100.0.9.0/24""], ""basel"": [""100.0.29.0/24""], ""athens"": [""100.0.9.0/24""]}, ""waypoint"": {""(paris,100.0.9.0/24)"": [""rotterdam""], ""(basel,100.0.29.0/24)"": [""london""], ""(athens,100.0.9.0/24)"": [""rotterdam""]}, ""loadbalancing"": {""(paris,100.0.9.0/24)"": 2, ""(basel,100.0.29.0/24)"": 2, ""(athens,100.0.9.0/24)"": 2}}","Connectivity from paris to 100.0.9.0/24 is established.
Ensure fault tolerance with multiple routes.
basel and 100.0.29.0/24. need connectivity.
Traffic should go through london when feasible.
Distribute traffic across available paths.
Ensure connectivity between athens and our servers.
Load balance the traffic appropriately.",OMIT; SOFT_LB; BIDIR; SOFT_WP; VAGUE_REF
1443,"Traffic originating from athens can reach the subnet 100.0.1.0/24.
Routing traffic between athens and 100.0.1.0/24 goes via kiev.
To reach 100.0.1.0/24 from athens, traffic should be split across 2 paths.
paris can reach 100.0.4.0/24.
Traffic from paris to 100.0.4.0/24 passes through basel.
To reach 100.0.4.0/24 from paris, traffic is balanced on 2 paths.
Connectivity from roma to 100.0.9.0/24 is established.
To reach 100.0.9.0/24 from roma, traffic is directed through rotterdam.
Traffic from roma to 100.0.9.0/24 is evenly distributed across 3 paths.","{""reachability"": {""athens"": [""100.0.1.0/24""], ""paris"": [""100.0.4.0/24""], ""roma"": [""100.0.9.0/24""]}, ""waypoint"": {""(athens,100.0.1.0/24)"": [""kiev""], ""(paris,100.0.4.0/24)"": [""basel""], ""(roma,100.0.9.0/24)"": [""rotterdam""]}, ""loadbalancing"": {""(athens,100.0.1.0/24)"": 2, ""(paris,100.0.4.0/24)"": 2, ""(roma,100.0.9.0/24)"": 3}}","Traffic originating from athens can reach the subnet the remote network
Routing traffic between athens and 100.0.1.0/24 goes via kiev.
Load balance the traffic appropriately.
Ensure paris can access 100.0.4.0/24.. Apply the same policy to other relevant connections.
Use basel as intermediate hop if available.
Use multiple paths for reliability.
Connectivity from roma to the main subnet is established.
Distribute traffic across available paths.",VAGUE_REF; SOFT_LB; MERGE; SOFT_WP; OMIT
1444,"Connectivity from marseille to 100.0.1.0/24 is established.
The path between marseille and 100.0.1.0/24 involves kiev.
Traffic from marseille to 100.0.1.0/24 is evenly distributed across 2 paths.
Traffic originating from frankfurt can reach the subnet 100.0.1.0/24.
The path between frankfurt and 100.0.1.0/24 involves kiev.
The number of paths between frankfurt and 100.0.1.0/24 should be 2.
zurich can reach 100.0.29.0/24.
The path between zurich and 100.0.29.0/24 involves london.
The number of paths between zurich and 100.0.29.0/24 should be 5.","{""reachability"": {""marseille"": [""100.0.1.0/24""], ""frankfurt"": [""100.0.1.0/24""], ""zurich"": [""100.0.29.0/24""]}, ""waypoint"": {""(marseille,100.0.1.0/24)"": [""kiev""], ""(frankfurt,100.0.1.0/24)"": [""kiev""], ""(zurich,100.0.29.0/24)"": [""london""]}, ""loadbalancing"": {""(marseille,100.0.1.0/24)"": 2, ""(frankfurt,100.0.1.0/24)"": 2, ""(zurich,100.0.29.0/24)"": 5}}","Connectivity from marseille to 100.0.1.0/24 is established.
The path between marseille and 100.0.1.0/24 involves kiev.
Traffic from marseille to 100.0.1.0/24 is evenly distributed across 2 paths.
Traffic originating from frankfurt can reach the subnet 100.0.1.0/24.
The path between frankfurt and 100.0.1.0/24 involves kiev.
Load balance the traffic appropriately.
zurich can reach 100.0.29.0/24.
Route through london if possible.
The number of paths between zurich and 100.0.29.0/24 should be 5.",SOFT_LB; SOFT_WP
